"Seviye","Kelime","Tür","Anlam","Cümle"
"A1 1 S","cake","noun","kek, pasta","She baked a chocolate cake. Çikolatalı kek pişirdi."
"A1 1 S","camera","noun","kamera, fotoğraf makinesi","He takes photos with his camera. Kamerasıyla fotoğraflar çekiyor."
"A1 1 S","can","verb","-ebilmek, yapabilmek","She can swim very well. Çok iyi yüzebiliyor."
"A1 1 S","candy (UK sweet(s))","noun","şekerleme","The child wants some candy. Çocuk biraz şeker istiyor."
"A1 1 S","car","noun","araba","My father drives a red car. Babam kırmızı bir araba sürüyor."
"A1 1 S","carrot","noun","havuç","Rabbits like eating carrots. Tavşanlar havuç yemeyi sever."
"A1 1 S","cat","noun","kedi","The cat is sleeping on the sofa. Kedi kanepede uyuyor."
"A1 1 S","catch (e.g. a ball)","verb","yakalamak","He tried to catch the ball. Topu yakalamaya çalıştı."
"A1 1 S","chair","noun","sandalye","Please sit on the chair. Lütfen sandalyeye otur."
"A1 1 S","chicken","noun","tavuk","We had chicken for dinner. Akşam yemeğinde tavuk yedik."
"A1 1 S","child/children","noun","çocuk / çocuklar","Children are playing in the park. Çocuklar parkta oynuyor."
"A1 1 S","chips (US fries)","noun","patates kızartması","I like burgers and chips. Hamburger ve patates kızartmasını severim."
"A1 1 S","chocolate","noun","çikolata","Do you like dark chocolate? Bitter çikolata sever misin?"
"A1 1 S","choose","verb","seçmek","Choose your favorite color. En sevdiğin rengi seç."
"A1 1 S","clap","verb","alkışlamak","The audience began to clap. Seyirci alkışlamaya başladı."
"A1 1 S","class","noun","sınıf, ders","We are in the same class. Aynı sınıftayız."
"A1 1 S","classmate","noun","sınıf arkadaşı","He is my best classmate. O benim en iyi sınıf arkadaşım."
"A1 1 S","classroom","noun","derslik, sınıf","Our classroom is very big. Sınıfımız çok büyük."
"A1 1 S","clean","adjective + verb","temiz / temizlemek","Keep your room clean. Odanı temiz tut."
"A1 1 S","clock","noun","duvar saati","The clock on the wall says three. Duvardaki saat üçü gösteriyor."
"A1 1 S","close","verb","kapatmak","Please close the door. Lütfen kapıyı kapat."
"A1 1 S","closed","adjective","kapalı","The shop is closed today. Dükkan bugün kapalı."
"A1 1 S","clothes","noun","giysiler, kıyafetler","She bought new winter clothes. Yeni kışlık kıyafetler aldı."
"A1 1 S","coconut","noun","hindistan cevizi","Coconut milk is very refreshing. Hindistan cevizi sütü çok ferahlatıcıdır."
"A1 1 S","colour (US color)","noun + verb","renk / boyamak","What is your favorite colour? En sevdiğin renk nedir?"
"A1 1 S","come","verb","gelmek","Come here, please. Lütfen buraya gel."
"A1 1 S","complete","verb","tamamlamak","Complete the sentences below. Aşağıdaki cümleleri tamamla."
"A1 1 S","computer","noun","bilgisayar","I use a computer for work. İşim için bilgisayar kullanıyorum."
"A1 1 S","cool","adjective + exclamation","havalı, harika / ne ala!","That is a cool jacket! Bu çok havalı bir ceket!"
"A1 1 S","correct","adjective","doğru, hatasız","Your answer is correct. Cevabın doğru."
"A1 1 S","count","verb","saymak","Count from one to ten. Bir'den ona kadar say."
"A1 1 S","cousin","noun","kuzen","My cousin lives in London. Kuzenim Londra'da yaşıyor."
"A1 1 S","cow","noun","inek","Cows give us milk. İnekler bize süt verir."
"A1 1 S","crayon","noun","mum boya","He draws pictures with crayons. Mum boyalarla resimler çizer."
"A1 1 S","crocodile","noun","timsah","A crocodile lives in the river. Timsah nehirde yaşar."
"A1 1 S","cross","noun + verb","çarpı işareti / geçmek","Cross the street carefully. Caddeyi dikkatlice geç."
"A1 1 S","cupboard","noun","dolap, büfe","Put the plates in the cupboard. Tabakları dolaba koy."
"A1 1 S","D","noun","D harfi","Dog starts with D. Köpek D ile başlar."
"A1 1 S","dad","noun","baba","My dad is cooking dinner. Babam akşam yemeği pişiriyor."
"A1 1 S","Dan","noun","özel isim (Dan)","Dan is my uncle's son. Dan amcamın oğlu."
"A1 1 S","day","noun","gün","Have a nice day! İyi günler!"
"A1 1 S","desk","noun","çalışma masası","His desk is full of papers. Çalışma masası kağıt dolu."
"A1 1 S","dining room","noun","yemek odası","We eat meals in the dining room. Yemekleri yemek odasında yiyoruz."
"A1 1 S","dinner","noun","akşam yemeği","What is for dinner? Akşam yemeğinde ne var?"
"A1 1 S","dirty","adjective","kirli","Your shoes are dirty. Ayakkabıların kirli."
"A1 1 S","do","verb","yapmak","What do you do? Ne iş yaparsın?"
"A1 1 S","dog","noun","köpek","The dog is barking outside. Köpek dışarıda havlıyor."
"A1 1 S","doll","noun","oyuncak bebek","She loves playing with her doll. Oyuncak bebegiyle oynamayı sever."
"A1 1 S","don’t worry","exclamation","merak etme","Don't worry, everything is fine. Merak etme, her şey yolunda."
"A1 1 S","donkey","noun","eşek","The farmer has a donkey. Çiftçinin bir eşeği var."
"A1 1 S","door","noun","kapı","Open the door, please. Lütfen kapıyı aç."
"A1 1 S","double","adjective","çift, katlı","I booked a double room. Çift kişilik bir oda ayıttım."
"A1 1 S","draw","verb","çizmek","She likes to draw pictures. Resim çizmeyi sever."
"A1 1 S","drawing","noun","çizim, resim","This is a nice drawing. Bu güzel bir çizim."
"A1 1 S","dress","noun","elbise","She is wearing a red dress. Kırmızı bir elbise giyiyor."
"A1 1 S","drink","noun + verb","içecek / içmek","Would you like a drink? Bir içecek ister misin?"
"A1 1 S","drive","verb","araba sürmek","He can drive a car. Araba sürebilir."
"A1 1 S","duck","noun","ördek","Ducks swim in the lake. Ördekler gölde yüzer."
"A1 1 S","E","noun","E harfi","Egg starts with E. Yumurta E ile başlar."
"A1 1 S","ear","noun","kulak","He whispered in my ear. Kulağıma fısıldadı."
"A1 1 S","eat","verb","yemek yemek","I like to eat apples. Elma yemeyi severim."
"A1 1 S","egg","noun","yumurta","I eat an egg every morning. Her sabah bir yumurta yerim."
"A1 1 S","elephant","noun","fil","An elephant has a long trunk. Filin uzun bir hortumu vardır."
"A1 1 S","end","noun","son, bitiş","This is the end of the story. Bu hikayenin sonu."
"A1 1 S","English","adjective + noun","İngilizce / İngiliz","She is studying English. İngilizce çalışıyor."
"A1 1 S","enjoy","verb","tadını çıkarmak, hoşlanmak","I enjoy listening to music. Müzik dinlemekten keyif alıyorum."
"A1 1 S","eraser (UK rubber)","noun","silgi","Can I borrow your eraser? Silgini ödünç alabilir miyim?"
"A1 1 S","Eva","noun","özel isim (Eva)","Eva is my best friend. Eva benim en iyi arkadaşım."
"A1 1 S","evening","noun","akşam","Good evening! İyi akşamlar!"
"A1 1 S","example","noun","örnek","Can you give me an example? Bana bir örnek verebilir misin?"
"A1 1 S","eye","noun","göz","She has blue eyes. Mavi gözleri var."
"A1 1 S","F","noun","F harfi","Fish starts with F. Balık F ile başlar."
"A1 1 S","face","noun","yüz","Wash your face with water. Yüzünü suyla yıka."
"A1 1 S","family","noun","aile","I love my family very much. Ailem çok seviyorum."
"A1 1 S","fantastic","adjective + exclamation","şahane, harika","The weather is fantastic today. Bugün hava harika."
"A1 1 S","father","noun","baba","My father is an engineer. Babam bir mühendis."
"A1 1 S","favourite (US favorite)","adjective","en sevilen","What is your favourite food? En sevdiğin yemek nedir?"
"A1 1 S","ﬂat (US apartment)","noun","daire","They live in a small ﬂat. Küçük bir dairede yaşıyorlar."
"A1 1 S","ﬂoor","noun","zemin, kat","The keys are on the floor. Anahtarlar yerde."
"A1 1 S","ﬂower","noun","çiçek","She picked a yellow flower. Sarı bir çiçek topladı."
"A1 1 S","ﬂy","verb","uçmak","Birds can fly in the sky. Kuşlar gökyüzünde uçabilir."
"A1 1 S","fnd","verb","bulmak","I cannot find my keys. Anahtarlarımı bulamıyorum."
"A1 1 S","food","noun","yiyecek, yemek","Italian food is very popular. İtalyan yemekleri çok popülerdir."
"A1 1 S","foot/feet","noun","ayak / ayaklar","He hurt his left foot. Sol ayağını incitti."
"A1 1 S","football (US soccer)","noun","futbol","We play football on Saturdays. Cumartesi günleri futbol oynarız."
"A1 1 S","for","preposition","için","This gift is for you. Bu hediye senin için."
"A1 1 S","friend","noun","arkadaş","She is a good friend. O iyi bir arkadaş."
"A1 1 S","fries (UK chips)","noun","patates kızartması","I want a burger and fries. Bir hamburger ve patates kızartması istiyorum."
"A1 1 S","frog","noun","kurbağa","A frog can jump high. Bir kurbağa yükseğe zıplayabilir."
"A1 1 S","from","preposition","-den, -dan (çıkış yeri)","I am from Turkey. Ben Türkiye'denim."
"A1 1 S","fruit","noun","meyve","Eat fresh fruit every day. Her gün taze meyve ye."
"A1 1 S","fun","adjective + noun","eğlence, eğlenceli","Learning English is fun. İngilizce öğrenmek eğlencelidir."
"A1 1 S","funny","adjective","komik, eğlenceli","He told a funny joke. Komik bir fıkra anlattı."
"A1 1 S","G","noun","G harfi","Girl starts with G. Kız G ile başlar."
"A1 1 S","game","noun","oyun","Let's play a video game. Bir video oyunu oynayalım."
"A1 1 S","garden","noun","bahçe","The children are playing in the garden. Çocuklar bahçede oynuyor."
"A1 1 S","get","verb","almak, elde etmek","Can you get some milk? Biraz süt alabilir misin?"
"A1 1 S","giraffe","noun","zürafa","A giraffe has a long neck. Zürafanın uzun bir boynu vardır."
"A1 1 S","girl","noun","kız çocuk","The girl is reading a book. Kız çocuk kitap okuyor."
"A1 1 S","give","verb","vermek","Give me that pen, please. Lütfen o kalemini bana ver."
"A1 1 S","glasses","noun","gözlük","He wears glasses to read. Okumak için gözlük takıyor."
"A1 1 S","go","verb","gitmek","I need to go home now. Şimdi eve gitmem gerekiyor."
"A1 1 S","go to bed","verb","yatağa gitmek, uyumaya gitmek","I usually go to bed at ten. Genellikle onda yatağa giderim."
"A1 1 S","go to sleep","verb","uyumaya başlamak","The baby went to sleep quickly. Bebek çabucak uykuya daldı."
"A1 1 S","goat","noun","keçi","The goat is eating grass. Keçi ot yiyor."
"A1 1 S","good","adjective","iyi","This is a good book. Bu iyi bir kitap."
"A1 1 S","goodbye","exclamation","hoşça kal","Goodbye! Have a nice trip. Hoşça kal! İyi yolculuklar."
"A1 1 S","Grace","noun","özel isim (Grace)","Grace sings very well. Grace çok iyi şarkı söyler."
"A1 1 S","grandfather","noun","büyükbaba, dede","My grandfather tells great stories. Büyükbabam harika hikayeler anlatır."
"A1 1 S","grandma","noun","büyükanne, büyünoş","Grandma is baking cookies. Büyükanne kurabiye pişiriyor."
"A1 1 S","grandmother","noun","büyükanne","My grandmother lives with us. Büyükannemiz bizimle yaşıyor."
"A1 1 S","grandpa","noun","büyükbaba, dede","Grandpa is in the garden. Büyükbaba bahçede."
"A1 1 S","grape","noun","üzüm","I like eating green grapes. Yeşil üzüm yemeyi severim."
"A1 1 S","gray (UK grey)","adjective","gri","Elephants are gray. Filler gridir."
"A1 1 S","great","adjective + exclamation","harika, mükemmel","That is a great idea! Bu harika bir fikir!"
"A1 1 S","green","adjective","yeşil","The grass is green. Çimen yeşildir."
"A1 1 S","grey (US gray)","adjective","gri","His car is grey. Onun arabası gri."
"A1 1 S","guitar","noun","gitar","He is playing the acoustic guitar. Akustik gitar çalıyor."
"A1 1 S","H","noun","H harfi","House starts with H. Ev H ile başlar."
"A1 1 S","hair","noun","saç","She has long brown hair. Uzun kahverengi saçları var."
"A1 1 S","hall","noun","hol, koridor","Leave your coat in the hall. Ceketini holde bırak."
"A1 1 S","hand","noun","el","Raise your hand if you know. Biliyorsan elini kaldır."
"A1 1 S","handbag","noun","el çantası","She lost her leather handbag. Deri el çantasını kaybetti."
"A1 1 S","happy","adjective","mutlu","They look very happy today. Bugün çok mutlu görünüyorlar."
"A1 1 S","hat","noun","şapka","He is wearing a winter hat. Kışlık bir şapka takıyor."
"A1 1 S","have got","verb","sahip olmak","I have got a new bike. Yeni bir bisikletim var."
"A1 1 S","have","verb","sahip olmak, yemek/içmek","I have a cup of coffee. Bir fincan kahve içiyorum."
"A1 1 S","he","pronoun","o (erkek)","He is playing football. O futbol oynuyor."
"A1 1 S","head","noun","baş, kafa","Wear a helmet on your head. Kafana kask tak."
"A1 1 S","helicopter","noun","helikopter","A helicopter landed in the field. Tarlaya bir helikopter indi."
"A1 1 S","hello","exclamation","merhaba","Hello, how are you? Merhaba, nasılsın?"
"A1 1 S","her","possessive adjective + pronoun","onun (kadın) / onu","This is her bag. Bu onun çantası."
"A1 1 S","here","adverb","burada","Come here right now. Hemen buraya gel."
"A1 1 S","hers","pronoun","onun (kadın)","This book is hers. Bu kitap onun."
"A1 1 S","hi","exclamation","selam","Hi! Nice to meet you. Selam! Tanıştığımıza memnun oldum."
"A1 1 S","him","pronoun","onu (erkek)","I saw him yesterday. Onu dün gördüm."
"A1 1 S","hippo","noun","su aygırı","The hippo is in the river. Su aygırı nehirde."
"A1 1 S","his","possessive adjective + pronoun","onun (erkek)","This is his car. Bu onun arabası."
"A1 1 S","hit","verb","vurmak, çarpmak","He hit the ball with a bat. Topa sopayla vurdu."
"A1 1 S","hobby","noun","hobi","Painting is my favorite hobby. Resim yapmak en sevdiğim hobi."
"A1 1 S","hockey","noun","hokey","They play hockey in winter. Kışın hokey oynarlar."
"A1 1 S","hold","verb","tutmak","Hold my hand, please. Lütfen elimi tut."
"A1 1 S","home","noun + adv","ev, evde","I want to go home. Eve gitmek istiyorum."
"A1 1 S","hooray","exclamation","yaşasın","Hooray! We won the match. Yaşasın! Maçı kazandık."
"A1 1 S","horse","noun","at","He loves riding a horse. At binmeyi çok sever."
"A1 1 S","house","noun","ev","They live in a white house. Beyaz bir evde yaşıyorlar."
"A1 1 S","how","interrogative","nasıl","How are you today? Bugün nasılsın?"
"A1 1 S","how many","interrogative","kaç tane","How many books do you have? Kaç kitabın var?"
"A1 1 S","how old","interrogative","kaç yaşında","How old is your sister? Kız kardeşin kaç yaşında?"
"A1 1 S","Hugo","noun","özel isim (Hugo)","Hugo is my classmate. Hugo sınıf arkadaşım."
"A1 1 S","I","pronoun","ben","I am learning English. İngilizce öğreniyorum."
"A1 1 S","ice cream","noun","dondurma","I like chocolate ice cream. Çikolatalı dondurmayı severim."
"A1 1 S","in","preposition of place + time","içinde, de, da","The cat is in the box. Kedi kutunun içinde."
"A1 1 S","in front of","preposition","önünde","The car is in front of the house. Araba evin önünde."
"A1 1 S","it","pronoun","o (cansız/hayvan)","It is a cold day. Soğuk bir gün."
"A1 1 S","its","possessive adjective + pronoun","onun","The cat is licking its paw. Kedi patisini yalıyor."
"A1 1 S","J","noun","J harfi","Juice starts with J. Meyve suyu J ile başlar."
"A1 1 S","jacket","noun","ceket","Put on your warm jacket. Sıcak ceketini giy."
"A1 1 S","jeans","noun","kot pantolon","He is wearing blue jeans. Mavi kot pantolon giyiyor."
"A1 1 S","jellyfsh","noun","denizanası","We saw a jellyfish in the sea. Denizin içinde bir denizanası gördük."
"A1 1 S","Jill","noun","özel isim (Jill)","Jill has a nice cat. Jill'in güzel bir kedisi var."
"A1 1 S","juice","noun","meyve suyu","I drink orange juice for breakfast. Kahvaltıda portakal suyu içerim."
"A1 1 S","jump","verb","zıplamak","The children can jump high. Çocuklar yükseğe zıplayabilir."
"A1 1 S","K","noun","K harfi","Key starts with K. Anahtar K ile başlar."
"A1 1 S","keyboard (computer)","noun","klavye","Clean your computer keyboard. Bilgisayar klavyeni temizle."
"A1 1 S","kick","verb","tekmeklemek, vurmak","He kicked the football. Futbol topuna vurdu."
"A1 1 S","kid","noun","çocuk, velet","The kids are playing outside. Çocuklar dışarıda oynuyor."
"A1 1 S","Kim","noun","özel isim (Kim)","Kim is reading a magazine. Kim dergi okuyor."
"A1 1 S","kitchen","noun","mutfak","Mom is cooking in the kitchen. Anne mutfakta yemek pişiriyor."
"A1 1 S","kite","noun","uçurtma","We are flying a kite in the wind. Rüzgarda uçurtma uçuruyoruz."
"A1 1 S","kiwi","noun","kivi","Kiwi is a healthy fruit. Kivi sağlıklı bir meyvedir."
"A1 1 S","know","verb","bilmek","I know the answer to this question. Bu sorunun cevabını biliyorum."
"A1 1 S","L","noun","L harfi","Lemon starts with L. Limon L ile başlar."
"A1 1 S","lamp","noun","lamba","Turn on the desk lamp, please. Lütfen çalışma lambasını aç."
"A1 1 S","learn","verb","öğrenmek","I want to learn German. Almanca öğrenmek istiyorum."
"A1 1 S","leg","noun","bacak","He broke his leg playing football. Futbol oynarken bacağını kırdı."
"A1 1 S","lemon","noun","limon","Lemons are very sour. Limonlar çok ekşidir."
"A1 1 S","lemonade","noun","limonata","We drank cold lemonade. Soğuk limonata içtik."
"A1 1 S","lesson","noun","ders","Our English lesson starts at nine. İngilizce dersimiz dokuzda başlıyor."
"A1 1 S","let’s","verb","hadi...alım/yapalım","Let's go to the park. Hadi parka gidelim."
"A1 1 S","letter (as in alphabet)","noun","harf","Write each letter clearly. Her harfi net bir şekilde yaz."
"A1 1 S","like","preposition + verb","gibi / sevmek","I like reading books. Kitap okumayı severim."
"A1 1 S","lime","noun","misket limonu","Add a slice of lime to your drink. İçeceğine bir dilim misket limonu ekle."
"A1 1 S","line","noun","çizgi, sıra","Draw a straight line. Düz bir çizgi çiz."
"A1 1 S","listen","verb","dinlemek","Listen to the teacher carefully. Öğretmeni dikkatlice dinle."
"A1 1 S","live","verb","yaşamak","They live in a big city. Büyük bir şehirde yaşıyorlar."
"A1 1 S","living room","noun","oturma odası","We watch TV in the living room. Oturma odasında televizyon izliyoruz."
"A1 1 S","lizard","noun","kertenkele","A lizard is sitting on the rock. Kayanın üzerinde bir kertenkele oturuyor."
"A1 1 S","long","adjective","uzun","She has very long hair. Çok uzun saçları var."
"A1 1 S","look","verb","bakmak","Look at this beautiful picture. Bu güzel resme bak."
"A1 1 S","look at","verb","bakmak","Look at the blackboard. Yazı tahtasına bak."
"A1 1 S","lorry (US truck)","noun","kamyon","A large lorry is on the road. Yolda büyük bir kamyon var."
"A1 1 S","lots","adverb + pronoun","çok miktarda","Thanks a lot for your help. Yardımın için çok teşekkürler."
"A1 1 S","lots of","determiner","pek çok, bir sürü","There are lots of apples on the tree. Ağaçta bir sürü elma var."
"A1 1 S","love","verb","sevmek","I love my family. Ailemi çok seviyorum."
"A1 1 S","Lucy","noun","özel isim (Lucy)","Lucy is playing with her dog. Lucy köpeğiyle oynuyor."
"A1 1 S","lunch","noun","öğle yemeği","What did you have for lunch? Öğle yemeğinde ne yedin?"
"A1 1 S","M","noun","M harfi","Moon starts with M. Ay M ile başlar."
"A1 1 S","make","verb","yapmak","She is making a cake. O bir kek yapıyor."
"A1 1 S","man/men","noun","adam / adamlar","The man is reading a newspaper. Adam gazete okuyor."
"A1 1 S","mango","noun","mango","Mango is a tropical fruit. Mango tropikal bir meyvedir."
"A1 1 S","many","determiner","kaç tane, çok sayıda","How many pencils do you have? Kaç kurşun kalemin var?"
"A1 1 S","Mark","noun","özel isim (Mark)","Mark plays tennis very well. Mark çok iyi tenis oynar."
"A1 1 S","mat","noun","paspas, küçük halı","Wipe your feet on the mat. Ayaklarını paspasda sil."
"A1 1 S","Matt","noun","özel isim (Matt)","Matt is my best friend. Matt benim en iyi arkadaşım."
"A1 1 S","May (as in girl’s name)","noun","özel isim (May)","May is a clever girl. May akıllı bir kız."
"A1 1 S","me","pronoun","beni, bana","Can you help me, please? Lütfen bana yardım edebilir misin?"
"A1 1 S","me too","discourse","ben de","I like apples. -Me too. Elmayı severim. -Ben de."
"A1 1 S","meat","noun","et","I don't eat red meat. Kırmızı et yeme."
"A1 1 S","meatballs","noun","köfte","Mom made delicious meatballs. Anne lezzetli köfteler yaptı."
"A1 1 S","milk","noun","süt","Children should drink milk. Çocuklar süt içmeli."
"A1 1 S","mine","pronoun","benimki","This pen is mine. Bu kalem benimki."
"A1 1 S","mirror","noun","ayna","She looked at herself in the mirror. Aynada kendine baktı."
"A1 1 S","Miss","title","Bayan (bekar kadınlar için ünvan)","Good morning, Miss Smith. Günaydın Bayan Smith."
"A1 1 S","monkey","noun","maymun","The monkey is climbing the tree. Maymun ağaca tırmanıyor."
"A1 1 S","monster","noun","canavar","The child drew a scary monster. Çocuk korkunç bir canavar çizdi."
"A1 1 S","morning","noun","sabah","Good morning! Günaydın!"
"A1 1 S","mother","noun","anne","My mother is a teacher. Annem bir öğretmen."
"A1 1 S","motorbike","noun","motosiklet","He rides a motorbike to work. İşe motosikletle gidiyor."
"A1 1 S","mouse (computer)","noun","bilgisayar faresi","Click with the computer mouse. Bilgisayar faresiyle tıkla."
"A1 1 S","mouse/mice","noun","fare / fareler","The cat chased the mouse. Kedi fareyi kovaladı."
"A1 1 S","mouth","noun","ağız","Open your mouth, please. Lütfen ağzını aç."
"A1 1 S","Mr","title","Bay (erkekler için ünvan)","Mr. Brown is our manager. Bay Brown bizim müdürümüzdür."
"A1 1 S","Mrs","title","Bayan (evli kadınlar için ünvan)","Mrs. Davis is at home. Bayan Davis evde."
"A1 1 S","mum","noun","anne","Mum, can I have some water? Anne, biraz su alabilir miyim?"
"A1 1 S","music","noun","müzik","I like listening to pop music. Pop müzik dinlemeyi severim."
"A1 1 S","my","possessive adjective","benim","This is my new car. Bu benim yeni arabam."
"A1 1 S","N","noun","N harfi","Nose starts with N. Burun N ile başlar."
